MAE,MSE,RMSE,R2,grupo,teste,learning_rate,dropout_rate,batch_size,eh_referencia,melhor_epoca,melhor_val_loss
0.6107019782066345,0.5620658993721008,0.7497105437247771,-0.09031593799591064,Learning Rate,lr=0.01,0.01,0.0,8,False,2951,0.6534181237220764
0.506580650806427,0.41538289189338684,0.6445020495649233,0.19422513246536255,Learning Rate,lr=0.1 (Baseline),0.1,0.0,8,True,2628,0.4743027091026306
0.5040490031242371,0.40306124091148376,0.6348710427413459,0.21812713146209717,Learning Rate,lr=0.3,0.3,0.0,8,False,2892,0.4176410436630249
0.5778070092201233,0.5266638398170471,0.7257160876107455,-0.02164173126220703,Batch Size,batch=1,0.1,0.0,1,False,582,0.5471263527870178
0.506580650806427,0.41538289189338684,0.6445020495649233,0.19422513246536255,Batch Size,batch=8 (Baseline),0.1,0.0,8,True,2628,0.4743027091026306
0.5249935388565063,0.4326891601085663,0.6577911219441672,0.16065382957458496,Batch Size,batch=30,0.1,0.0,30,False,2999,0.5138242244720459
0.5736923813819885,0.5092987418174744,0.7136516950287966,0.01204371452331543,Dropout Rate,dropout=0.05,0.1,0.05,8,False,2941,0.5587572455406189
0.5739984512329102,0.5087797045707703,0.7132879534737498,0.013050556182861328,Dropout Rate,dropout=0.1 (Baseline+Dropout),0.1,0.1,8,True,2811,0.5903213620185852
0.5920028686523438,0.5215736627578735,0.7222005696189069,-0.01176762580871582,Dropout Rate,dropout=0.3,0.1,0.3,8,False,2798,0.7390875220298767
